colname,old_coltype,new_coltype
subject_id,numeric,character
sample_weight,numeric,numeric
visit_id,character,character
visit_date,Date,date
procedure_date,Date,date
discharge_date,Date,date
province,factor,character
city,factor,character
provider_owner,factor,factor
provider_cat,factor,factor
provider_type,factor,factor
level,factor,factor
insurance_class,factor,factor
icd10_cat,factor,factor
icd10_code,character,factor
icd10_diagnosis,character,character
icd10_procedure,factor,character
cost_invoice,numeric,numeric
cost_verified,numeric,numeric
householder_id,numeric,character
